,Year,Country,Happiness_Rank,Happiness_Score,Average_Happiness_Score,GDP_Capita,Average_GDP_Capita,Family,Average_Family,Life_Expectancy,Average_Life_Expectancy,Freedom,Average_Freedom,Generosity,Average_Generosity,Govt_Corruption,Average_Govt_Corruption,Dystopia_Residual,clusters,cluster
0,2015,Switzerland,1,7.587,7.511399992,1.39651,1.472163911,1.34951,1.417332349,0.94143,0.928318258,0.66557,0.620642115,0.29678,0.277431856,0.41978,0.379763457,2.51738,0,pink
1,2015,Iceland,2,7.561,7.511000037,1.30232,1.386522604,1.40223,1.492812801,0.94784,0.917744424,0.62877,0.618034527,0.4363,0.419124044,0.14145,0.140145312,2.70201,0,pink
2,2015,Denmark,3,7.527,7.545999967,1.32548,1.396728603,1.36058,1.447688319,0.87464,0.865249105,0.64938,0.625959344,0.34139,0.318876098,0.48357,0.429374014,2.49204,0,pink
3,2015,Norway,4,7.522,7.541000036,1.459,1.519380637,1.33095,1.431074712,0.88521,0.873333301,0.66973,0.638048517,0.34699,0.328990447,0.36503,0.343950767,2.46531,0,pink
4,2015,Canada,5,7.427,7.350599997,1.32629,1.388128883,1.32261,1.387411798,0.90563,0.90055753,0.63297,0.610954182,0.45811,0.389597944,0.32957,0.305846303,2.45176,0,pink
5,2015,Finland,6,7.406,7.537799973,1.29025,1.356960385,1.31826,1.434429345,0.88911,0.873835534,0.64169,0.621536171,0.23351,0.217782555,0.41372,0.398474309,2.61955,0,pink
6,2015,Netherlands,7,7.378,7.404599971,1.32944,1.411012927,1.28017,1.349645845,0.89284,0.878569225,0.61576,0.589650898,0.4761,0.415149966,0.31814,0.298614365,2.4657,0,pink
7,2015,Sweden,8,7.364,7.319199984,1.33171,1.403981454,1.28907,1.368574434,0.91087,0.898991032,0.6598,0.61758082,0.36262,0.33651185,0.43844,0.397501746,2.37119,0,pink
8,2015,New Zealand,9,7.286,7.313000026,1.25018,1.31750921,1.31967,1.439729025,0.90837,0.891617941,0.63938,0.617782426,0.47501,0.432805025,0.42922,0.40001534,2.26425,0,pink
9,2015,Australia,10,7.284,7.276199984,1.33358,1.394884987,1.30923,1.40900639,0.93156,0.914529359,0.65124,0.605043476,0.43562,0.41607785,0.35637,0.314572746,2.26646,0,pink
10,2015,Israel,11,7.278,7.142199964,1.22857,1.303722485,1.22393,1.321917993,0.91387,0.9026888,0.41319,0.417499721,0.33172,0.319936531,0.07785,0.12087442,3.08854,0,pink
11,2015,Costa Rica,12,7.226,7.126199999,0.95578,1.035655257,1.23788,1.31516073,0.86027,0.832247853,0.63376,0.59122833,0.25497,0.196422646,0.10583,0.101081318,3.17728,0,pink
12,2015,Austria,13,7.2,7.142000008,1.33723,1.398341453,1.29704,1.363962993,0.89042,0.883679684,0.62433,0.576929238,0.33088,0.292400464,0.18676,0.214260073,2.5332,0,pink
13,2015,Mexico,14,7.187,6.725200014,1.02054,1.079360764,0.91451,1.082994432,0.81444,0.7715698,0.48181,0.436726002,0.14074,0.104416087,0.21312,0.139488823,3.60214,0,pink
14,2015,United States,15,7.119,6.998800006,1.39451,1.455945857,1.24711,1.328570113,0.86179,0.821615326,0.54604,0.506882105,0.40105,0.355079756,0.1589,0.140843758,2.51011,0,pink
15,2015,Brazil,16,6.983,6.657800046,0.98124,1.033226642,1.23287,1.323311201,0.69702,0.680944471,0.49049,0.443038749,0.14574,0.134969979,0.17521,0.120392552,3.26001,0,pink
